"indicateur","sexe","région","diplôme","groupe-d-age","Unit","Date","Value"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2017","6240"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2018","7850"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2019","6370"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2020","3814"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2021","6226"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Ensemble","Non concerné","Non concerné","Nombre","2022","6178"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2017","143"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2018","96"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2019","102"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2020","38"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2021","85"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2022","97"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2017","112"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2018","87"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2019","69"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2020","53"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2021","83"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Cascades","Non concerné","Non concerné","Nombre","2022","55"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2017","3785"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2018","5320"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2019","3787"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2020","2398"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2021","3869"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre","Non concerné","Non concerné","Nombre","2022","3832"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2017","174"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2018","166"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2019","166"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2020","80"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2021","328"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Est","Non concerné","Non concerné","Nombre","2022","175"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2017","171"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2018","132"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2019","140"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2020","146"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2021","109"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Nord","Non concerné","Non concerné","Nombre","2022","280"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2017","300"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2018","261"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2019","335"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2020","184"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2021","297"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Ouest","Non concerné","Non concerné","Nombre","2022","299"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2017","130"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2018","65"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2019","152"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2020","31"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2021","94"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Centre-Sud","Non concerné","Non concerné","Nombre","2022","84"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2017","83"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2018","70"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2019","95"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2020","103"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2021","106"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Est","Non concerné","Non concerné","Nombre","2022","108"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2017","798"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2018","1055"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2019","1058"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2020","522"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2021","873"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Hauts-Bassins","Non concerné","Non concerné","Nombre","2022","835"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2017","183"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2018","126"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2019","115"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2020","82"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2021","110"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Nord","Non concerné","Non concerné","Nombre","2022","99"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2017","103"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2018","310"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2019","204"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2020","68"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2021","126"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Plateau Central","Non concerné","Non concerné","Nombre","2022","200"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2017","146"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2018","47"
